date,rain
2018-12-31,14.4
2018-12-30,2.1
2018-12-29,6.3
2018-12-28,8.1
2018-12-27,18.8
2018-12-26,1.9 
2018-12-25,16.6
2018-12-24,0.1 
2018-12-23,0.0 
2018-12-22,1.5 
2018-12-21,0.0 
2018-12-20,0.1 
2018-12-19,0.0 
2018-12-18,0.0 
2018-12-17,0.0 
2018-12-16,0.0 
2018-12-15,0.0 
2018-12-14,0.0 
2018-12-13,0.0 
2018-12-12,0.0 
2018-12-11,0.1 
2018-12-10,3.5 
2018-12-09,0.1 
2018-12-08,4.2 
2018-12-07,6.7 
2018-12-06,6.2 
2018-12-05,3.8 
2018-12-04,16.7
2018-12-03,2.1 
2018-12-02,8.0 
2018-12-01,14.4
2018-11-30,9.3 
2018-11-29,3.5 
2018-11-28,0.0 
2018-11-27,0.0 
2018-11-26,0.0 
2018-11-25,0.0
2018-11-24,0.0 
2018-11-23,0.0 
2018-11-22,0.0 
2018-11-21,0.0 
2018-11-20,0.0 
2018-11-19,0.0 
2018-11-18,0.0 
2018-11-17,0.0
2018-11-16,0.0 
2018-11-15,7.1 
2018-11-14,8.4 
2018-11-13,6.5 
2018-11-12,3.2 
2018-11-11,1.9 
2018-11-10,0.0 
2018-11-09,1.9 
2018-11-08,0.0 
2018-11-07,0.0 
2018-11-06,0.0 
2018-11-05,0.0 
2018-11-04,6.3 
2018-11-03,8.4 
2018-11-02,11.7
2018-11-01,6.5 
2018-10-31,5.9 
2018-10-30,0.0 
2018-10-29,0.0 
2018-10-28,0.0 
2018-10-27,0.0 
2018-10-26,4.1 
2018-10-25,9.0 
2018-10-24,6.0 
2018-10-23,44.4
2018-10-22,45.0
2018-10-21,17.4
2018-10-20,21.0
2018-10-19,1.3 
2018-10-18,4.5 
2018-10-17,9.2 
2018-10-16,0.0 
2018-10-15,29.8
2018-10-14,55.4
2018-10-13,55.3
2018-10-12,0.0 
2018-10-11,0.1 
2018-10-10,71.9
2018-10-09,41.0
2018-10-08,32.1
2018-10-07,0.6 
2018-10-06,10.5
2018-10-05,34.0
2018-10-04,3.6 
2018-10-03,10.3
2018-10-02,12.9
2018-10-01,14.6
2018-09-30,43.7
2018-09-29,21.7
2018-09-28,20.7
2018-09-27,9.5 
2018-09-26,79.5
2018-09-25,5.9 
2018-09-24,11.5
2018-09-23,13.9
2018-09-22,47.5
2018-09-21,10.5
2018-09-20,12.7
2018-09-19,18.6
2018-09-18,16.1
2018-09-17,12.4
2018-09-16,8.7 
2018-09-15,20.5
2018-09-14,15.8
2018-09-13,15.4
2018-09-12,30.3
2018-09-11,47.0
2018-09-10,41.7
2018-09-09,5.5 
2018-09-08,0.6 
2018-09-07,10.4
2018-09-06,0.1
2018-09-05,0.1
2018-09-04,0.0 
2018-09-03,0.0 
2018-09-02,0.0 
2018-09-01,0.0 
2018-08-31,0.0 
2018-08-30,21.4
2018-08-29,0.0 
2018-08-28,0.0
2018-08-27,3.0
2018-08-26,10.4
2018-08-25,37.4
2018-08-24,19.9
2018-08-23,53.5
2018-08-22,8.7 
2018-08-21,0.0 
2018-08-20,0.7 
2018-08-19,22.2
2018-08-18,26.3
2018-08-17,25.9 
2018-08-16,24.6 
2018-08-15,0.7
2018-08-14,0.2
2018-08-13,0.8
2018-08-12,1.2
2018-08-11,29.9
2018-08-10,6.8
2018-08-09,21.4 
2018-08-08,0.2 
2018-08-07,4.8 
2018-08-06,1.5 
2018-08-05,6.1 
2018-08-04,7.8 
2018-08-03,6.2 
2018-08-02,1.5 
2018-08-01,2.1 
2018-07-31,3.3
2018-07-30,2.9
2018-07-29,10.3
2018-07-28,0.0 
2018-07-27,0.0 
2018-07-26,0.0 
2018-07-25,15.3 
2018-07-24,1.6 
2018-07-23,2.9 
2018-07-22,4.4 
2018-07-21,0.0 
2018-07-20,0.0 
2018-07-19,1.6 
2018-07-18,1.8 
2018-07-17,0.0 
2018-07-16,0.1 
2018-07-15,0.5 
2018-07-14,0.0 
2018-07-13,0.0 
2018-07-12,0.0 
2018-07-11,11. 
2018-07-10,10. 
2018-07-09,5.4 
2018-07-08,0.0 
2018-07-07,0.0 
2018-07-06,0.5 
2018-07-05,0.0 
2018-07-04,0.0 
2018-07-03,0.0 
2018-07-02,0.0 
2018-07-01,0.0 
